millet,state,district,year,month,modal_price
jowar,Maharashtra,Beed,2024,1,2960.09
jowar,Maharashtra,Buldhana,2024,1,2672.06
jowar,Maharashtra,Chattrapati Sambhajinagar,2024,1,2667.05
jowar,Maharashtra,Dharashiv(Usmanabad),2024,1,3799.92
jowar,Maharashtra,Dhule,2024,1,2586.11
jowar,Maharashtra,Hingoli,2024,1,2718.42
jowar,Maharashtra,Jalana,2024,1,2941.1
jowar,Maharashtra,Jalgaon,2024,1,2868.87
jowar,Maharashtra,Latur,2024,1,3550.17
jowar,Maharashtra,Mumbai,2024,1,5229.54
jowar,Maharashtra,Nanded,2024,1,2450.5
jowar,Maharashtra,Nandurbar,2024,1,2843.33
jowar,Maharashtra,Nashik,2024,1,3000.52
jowar,Maharashtra,Parbhani,2024,1,3162.25
jowar,Maharashtra,Pune,2024,1,6238.51
jowar,Maharashtra,Raigad,2024,1,3084.85
jowar,Maharashtra,Sangli,2024,1,3794.5
jowar,Maharashtra,Satara,2024,1,4227.78
jowar,Maharashtra,Sholapur,2024,1,4424.92
jowar,Maharashtra,Thane,2024,1,4580.51
jowar,Maharashtra,Vashim,2024,1,2725.0
jowar,Maharashtra,Ahmednagar,2024,4,3524.42
jowar,Maharashtra,Akola,2024,4,2210.33
jowar,Maharashtra,Amarawati,2024,4,2491.85
jowar,Maharashtra,Beed,2024,4,2712.61
jowar,Maharashtra,Buldhana,2024,4,2070.71
jowar,Maharashtra,Chattrapati Sambhajinagar,2024,4,2626.79
jowar,Maharashtra,Dharashiv(Usmanabad),2024,4,3366.09
jowar,Maharashtra,Dhule,2024,4,2776.69
jowar,Maharashtra,Gadchiroli,2024,4,2500.0
jowar,Maharashtra,Hingoli,2024,4,1902.37
jowar,Maharashtra,Jalana,2024,4,2798.48
jowar,Maharashtra,Jalgaon,2024,4,2361.9
